,0
2022-07-18 04:00:00+00:00,230644.84924426753
2022-07-19 04:00:00+00:00,234323.49671120953
2022-07-20 04:00:00+00:00,234089.17321449833
2022-07-21 04:00:00+00:00,236392.31417844127
2022-07-22 04:00:00+00:00,234206.4443502416
2022-07-25 04:00:00+00:00,234513.40366364957
2022-07-26 04:00:00+00:00,231781.61861793624
2022-07-27 04:00:00+00:00,237886.6214426302
2022-07-28 04:00:00+00:00,240718.84086045786
2022-07-29 04:00:00+00:00,244036.3691332916
2022-08-01 04:00:00+00:00,243404.57757711946
2022-08-02 04:00:00+00:00,241891.61712273987
2022-08-03 04:00:00+00:00,245546.00974098014
2022-08-04 04:00:00+00:00,245379.37660946703
2022-08-05 04:00:00+00:00,245014.73463199657
2022-08-08 04:00:00+00:00,244736.8138777921
2022-08-09 04:00:00+00:00,243778.6505754878
2022-08-10 04:00:00+00:00,248757.27662813448
2022-08-11 04:00:00+00:00,248617.69882912078
2022-08-12 04:00:00+00:00,252467.24237895073
2022-08-15 04:00:00+00:00,253359.7065169502
2022-08-16 04:00:00+00:00,253674.11537280635
2022-08-17 04:00:00+00:00,257770.89664316067
2022-08-18 04:00:00+00:00,258314.21472399402
2022-08-19 04:00:00+00:00,255413.16147416396
2022-08-22 04:00:00+00:00,250489.6008880842
2022-08-23 04:00:00+00:00,249973.39295231932
2022-08-24 04:00:00+00:00,250671.6476358718
2022-08-25 04:00:00+00:00,254045.91534088514
2022-08-26 04:00:00+00:00,246145.69611570478
2022-08-29 04:00:00+00:00,251707.7429281505
2022-08-30 04:00:00+00:00,251581.8890566864
2022-08-31 04:00:00+00:00,252572.02627826083
2022-09-01 04:00:00+00:00,252195.50661809565
2022-09-02 04:00:00+00:00,253566.02512454084
2022-09-06 04:00:00+00:00,254090.89785848968
2022-09-07 04:00:00+00:00,251786.07563741237
2022-09-08 04:00:00+00:00,250205.05766193097
2022-09-09 04:00:00+00:00,246366.84307434174
2022-09-12 04:00:00+00:00,252546.81681562227
2022-09-13 04:00:00+00:00,252294.26999880665
2022-09-14 04:00:00+00:00,251565.7163795728
2022-09-15 04:00:00+00:00,253002.39330257106
2022-09-16 04:00:00+00:00,253920.265870912
2022-09-19 04:00:00+00:00,253057.17625949328
2022-09-20 04:00:00+00:00,254504.33042367658
2022-09-21 04:00:00+00:00,256740.0419040433
2022-09-22 04:00:00+00:00,257850.1529314433
2022-09-23 04:00:00+00:00,260059.3487604915
2022-09-26 04:00:00+00:00,261101.32936440036
2022-09-27 04:00:00+00:00,261304.61655563
2022-09-28 04:00:00+00:00,261608.09741342574
2022-09-29 04:00:00+00:00,264506.2617492921
2022-09-30 04:00:00+00:00,266461.7485822763
2022-10-03 04:00:00+00:00,266720.32578410883
2022-10-04 04:00:00+00:00,262781.485271924
2022-10-05 04:00:00+00:00,263054.55090319127
2022-10-06 04:00:00+00:00,264441.04162948986
2022-10-07 04:00:00+00:00,268340.09194867447
2022-10-10 04:00:00+00:00,269391.02913694363
2022-10-11 04:00:00+00:00,270311.53313312284
2022-10-12 04:00:00+00:00,270777.70405493135
2022-10-13 04:00:00+00:00,267432.32120089466
2022-10-14 04:00:00+00:00,270790.75225734327
2022-10-17 04:00:00+00:00,267375.87328999833
2022-10-18 04:00:00+00:00,265902.0413887573
2022-10-19 04:00:00+00:00,266821.24610514287
2022-10-20 04:00:00+00:00,267922.7228531521
2022-10-21 04:00:00+00:00,264859.3563983226
2022-10-24 04:00:00+00:00,269725.3323392498
2022-10-25 04:00:00+00:00,269590.46967308014
2022-10-26 04:00:00+00:00,268586.30019789364
2022-10-27 04:00:00+00:00,267754.4227866899
2022-10-28 04:00:00+00:00,271064.0056912906
2022-10-31 04:00:00+00:00,270061.55903542734
2022-11-01 04:00:00+00:00,269507.6998843083
2022-11-02 04:00:00+00:00,271756.81365473114
2022-11-03 04:00:00+00:00,271620.9352479038
2022-11-04 04:00:00+00:00,276100.82407551707
2022-11-07 05:00:00+00:00,275824.72325144155
2022-11-08 05:00:00+00:00,277364.8511571907
2022-11-09 05:00:00+00:00,271235.20608968596
2022-11-10 05:00:00+00:00,278854.1585341257
2022-11-11 05:00:00+00:00,286308.78788815736
2022-11-14 05:00:00+00:00,283948.69352374267
2022-11-15 05:00:00+00:00,286325.12774470483
2022-11-16 05:00:00+00:00,284156.0700666332
2022-11-17 05:00:00+00:00,283339.68199962645
2022-11-18 05:00:00+00:00,284638.0096862366
2022-11-21 05:00:00+00:00,283614.39280207537
2022-11-22 05:00:00+00:00,287320.22552854934
2022-11-23 05:00:00+00:00,288934.79044532607
2022-11-25 05:00:00+00:00,288865.42695647
2022-11-28 05:00:00+00:00,284798.0855284916
2022-11-29 05:00:00+00:00,284378.0322328474
2022-11-30 05:00:00+00:00,292830.9747710596
2022-12-01 05:00:00+00:00,292644.1820323806
2022-12-02 05:00:00+00:00,292337.2260572034
